id,name,slug,status,query,title,path,url,score,reason,desc_excerpt,categories
247,하의,ha_ui_247,KEEP,하의(삼국지),하의(삼국지),/w/%ED%95%98%EC%9D%98(%EC%82%BC%EA%B5%AD%EC%A7%80),https://namu.wiki/w/%ED%95%98%EC%9D%98(%EC%82%BC%EA%B5%AD%EC%A7%80),13,strong:후한 말|정사 삼국지|황건적;qual:삼국지,후한 말의 황건적 . 정사 삼국지 황건적의 난 이 진압된 이후에 잔당으로써 남아 유벽 유벽이 여기서 죽었는지에,황건적 | 몰년 미상
248,한충,han_chung_248,KEEP,한충,한충,/w/%ED%95%9C%EC%B6%A9,https://namu.wiki/w/%ED%95%9C%EC%B6%A9,11,strong:후한 말|정사 삼국지|황건적,"한충(韓忠, 생년 미상~ 184년 )은 후한 말의 황건적 이다. 정사 삼국지 완성 ( 허난성 난양시 )을",황건적 | 184년 사망 | 중국의 살해된 인물
249,손하,son_ha_249,KEEP,손하(삼국지),손하(삼국지),/w/%EC%86%90%ED%95%98(%EC%82%BC%EA%B5%AD%EC%A7%80),https://namu.wiki/w/%EC%86%90%ED%95%98(%EC%82%BC%EA%B5%AD%EC%A7%80),9,strong:후한 말;qual:삼국지,후한 말의 인물이며 자 는 백해(伯海)로 양주 오군 부춘현 사람. 생애 원래는 성씨 가 유(俞)씨,후한의 인물 | 204년 사망 | 항저우시 출신 인물 | 중국의 살해된 인물
257,주준,zhu_jun_257,KEEP,주준,주준,/w/%EC%A3%BC%EC%A4%80,https://namu.wiki/w/%EC%A3%BC%EC%A4%80,7,strong:삼국지연의,"주준(朱儁, 1980년대까지 국내 번역 된 < 삼국지연의 >에는 儁의 오독으로 인해 이름이 주전 으로 틀리게 표",후한의 태위 | 195년 사망 | 사오싱시 출신 인물
266,원진,won_jin_266,REJECT,원진,원진,/w/%EC%9B%90%EC%A7%84,https://namu.wiki/w/%EC%9B%90%EC%A7%84,5,weak,"안녕하세요, 저는 팀에서 장난꾸러기를 맡고 있는 원진입니다! 200414 CRAVITY 데뷔 쇼케이스 中 대한민",원진 | CRAVITY/멤버 | STARSHIPZ | 한국 남가수 | 배우 출신 가수 | 아역배우 | 아이돌 리더 | 아이돌 보컬 | 아이돌 댄서 | 대한민국의 작사가 | 2001년 출생 | 은평구 출신 인물 | 재데뷔한 인물 | 프로듀스 X 101/참가자 | 프로듀스 101 출신 가수 | 서울은평초등학교 출신 | 연천중학교(서울) 출신 | 대신고등학교(서울) 출신 | 세종사이버대학교 출신 | 리그 오브 레전드/게이머 | 강릉 함씨 | 2020년 데뷔 | 2007년 데뷔
267,유민,yu_min_267,KEEP,유민(삼국지),유민(삼국지),/w/%EC%9C%A0%EB%AF%BC(%EC%82%BC%EA%B5%AD%EC%A7%80),https://namu.wiki/w/%EC%9C%A0%EB%AF%BC(%EC%82%BC%EA%B5%AD%EC%A7%80),11,strong:삼국시대|촉한;qual:삼국지,삼국시대 촉한 의 인물. 형주 영릉군 천릉현 사람으로 장완 의 외종동생이다. 생애 장완과 더불어 이름이 알려졌,촉한의 인물 | 몰년 미상 | 후난성 출신 인물
272,원재,won_jae_272,REJECT,원재,원재,/w/%EC%9B%90%EC%9E%AC,https://namu.wiki/w/%EC%9B%90%EC%9E%AC,5,weak,"당나라의 인물. 자는 공보(公輔)이며, 섬서성 봉상현 기산 사람이다. 당조의 대표적인 탐관오리이다. 생애 천보연간",수당시대/인물 | 777년 사망
275,동우,dong_u_275,KEEP,동우(삼국지),동우(삼국지),/w/%EB%8F%99%EC%9A%B0(%EC%82%BC%EA%B5%AD%EC%A7%80),https://namu.wiki/w/%EB%8F%99%EC%9A%B0(%EC%82%BC%EA%B5%AD%EC%A7%80),15,strong:후한 말|삼국시대|조위|위나라;qual:삼국지,후한 말과 삼국시대 위나라 의 인물이며 자는 계직(季直)으로 고사성어 독서삼여 의 유래가 된 인물. 생애,후한의 인물 | 한나라의 관료 | 조위의 인물
277,정평,jeong_pyeong_277,REJECT,정평,정평,/w/%EC%A0%95%ED%8F%89,https://namu.wiki/w/%EC%A0%95%ED%8F%89,-999,bad_token:동음이의어,대부분의 사람들이 인정하는 평판. 예: 그 집은 맛집으로 정평이 나 있다. 함경남도 의 군 定平 정평동 경상북도,동음이의어
278,한영,han_yeong_278,KEEP,한영(삼국지연의),한영(삼국지연의),/w/%ED%95%9C%EC%98%81(%EC%82%BC%EA%B5%AD%EC%A7%80%EC%97%B0%EC%9D%98),https://namu.wiki/w/%ED%95%9C%EC%98%81(%EC%82%BC%EA%B5%AD%EC%A7%80%EC%97%B0%EC%9D%98),14,strong:삼국지연의|위나라;qual:삼국지|삼국지연의,"삼국지연의 의 가공인물 이자 위나라 의 장수로 서량의 대장인 한덕 의 장남이자 한요 , 한경 , 한기",삼국지/가공인물
