character_id,name_kr,character_name,confirmed,best_score,best_title,best_path,best_url,reason_flags,best_desc
519,한호,han_ho_519,NO,-1,비정상적인 트래픽 감지,/w/한호,https://namu.wiki/w/%ED%95%9C%ED%98%B8,"title_mismatch,path_match",
526,매성,mae_seong_526,NO,-1,비정상적인 트래픽 감지,/w/매성,https://namu.wiki/w/%EB%A7%A4%EC%84%B1,"title_mismatch,path_match",
536,마의,ma_ui_536,NO,-1,비정상적인 트래픽 감지,/w/마의,https://namu.wiki/w/%EB%A7%88%EC%9D%98,"title_mismatch,path_match",
539,위관,wi_gwan_539,NO,-1,비정상적인 트래픽 감지,/w/위관,https://namu.wiki/w/%EC%9C%84%EA%B4%80,"title_mismatch,path_match",
542,왕갑,wang_gap_542,NO,-1,비정상적인 트래픽 감지,/w/왕갑,https://namu.wiki/w/%EC%99%95%EA%B0%91,"title_mismatch,path_match",
543,왕필,wang_pil_543,NO,-1,비정상적인 트래픽 감지,/w/왕필,https://namu.wiki/w/%EC%99%95%ED%95%84,"title_mismatch,path_match",
544,왕기,wang_gi_544,NO,-1,비정상적인 트래픽 감지,/w/왕기,https://namu.wiki/w/%EC%99%95%EA%B8%B0,"title_mismatch,path_match",
546,왕릉,wang_reung_546,NO,-1,비정상적인 트래픽 감지,/w/왕릉,https://namu.wiki/w/%EC%99%95%EB%A6%89,"title_mismatch,path_match",
547,왕숙,wang_suk_547,NO,-1,비정상적인 트래픽 감지,/w/왕숙,https://namu.wiki/w/%EC%99%95%EC%88%99,"title_mismatch,path_match",
569,사섭,sa_seop_569,NO,-1,비정상적인 트래픽 감지,/w/사섭,https://namu.wiki/w/%EC%82%AC%EC%84%AD,"title_mismatch,path_match",
578,하제,ha_je_578,NO,-1,비정상적인 트래픽 감지,/w/하제,https://namu.wiki/w/%ED%95%98%EC%A0%9C,"title_mismatch,path_match",
581,진표,jin_pyo_581,NO,-1,비정상적인 트래픽 감지,/w/진표,https://namu.wiki/w/%EC%A7%84%ED%91%9C,"title_mismatch,path_match",
582,손소,son_so_582,NO,-1,비정상적인 트래픽 감지,/w/손소,https://namu.wiki/w/%EC%86%90%EC%86%8C,"title_mismatch,path_match",
587,손노,son_no_587,NO,-1,비정상적인 트래픽 감지,/w/손노,https://namu.wiki/w/%EC%86%90%EB%85%B8,"title_mismatch,path_match",
592,한소,han_so_592,NO,-1,비정상적인 트래픽 감지,/w/한소,https://namu.wiki/w/%ED%95%9C%EC%86%8C,"title_mismatch,path_match",
593,주이,ju_i_593,NO,-1,비정상적인 트래픽 감지,/w/주이,https://namu.wiki/w/%EC%A3%BC%EC%9D%B4,"title_mismatch,path_match",
595,오찬,o_chan_595,NO,-1,비정상적인 트래픽 감지,/w/오찬,https://namu.wiki/w/%EC%98%A4%EC%B0%AC,"title_mismatch,path_match",
597,여대,yeo_dae_597,NO,-1,비정상적인 트래픽 감지,/w/여대,https://namu.wiki/w/%EC%97%AC%EB%8C%80,"title_mismatch,path_match",
609,호진,ho_jin_609,NO,-1,비정상적인 트래픽 감지,/w/호진,https://namu.wiki/w/%ED%98%B8%EC%A7%84,"title_mismatch,path_match",
613,유리,yu_ri_613,NO,-1,비정상적인 트래픽 감지,/w/유리,https://namu.wiki/w/%EC%9C%A0%EB%A6%AC,"title_mismatch,path_match",
614,유경,yu_gyeong_614,NO,-1,비정상적인 트래픽 감지,/w/유경,https://namu.wiki/w/%EC%9C%A0%EA%B2%BD,"title_mismatch,path_match",
615,유혁,yu_hyeok_615,NO,-1,비정상적인 트래픽 감지,/w/유혁,https://namu.wiki/w/%EC%9C%A0%ED%98%81,"title_mismatch,path_match",
617,유이,yu_i_617,NO,-1,비정상적인 트래픽 감지,/w/유이,https://namu.wiki/w/%EC%9C%A0%EC%9D%B4,"title_mismatch,path_match",
619,유근,yu_geun_619,NO,-1,비정상적인 트래픽 감지,/w/유근,https://namu.wiki/w/%EC%9C%A0%EA%B7%BC,"title_mismatch,path_match",
625,장소,jang_so_625,NO,-1,비정상적인 트래픽 감지,/w/장소,https://namu.wiki/w/%EC%9E%A5%EC%86%8C,"title_mismatch,path_match",
629,진충,jin_chung_629,NO,-1,비정상적인 트래픽 감지,/w/진충,https://namu.wiki/w/%EC%A7%84%EC%B6%A9,"title_mismatch,path_match",
632,교유,gyo_yu_632,NO,-1,비정상적인 트래픽 감지,/w/교유,https://namu.wiki/w/%EA%B5%90%EC%9C%A0,"title_mismatch,path_match",
633,교주,gyo_ju_633,NO,-1,비정상적인 트래픽 감지,/w/교주,https://namu.wiki/w/%EA%B5%90%EC%A3%BC,"title_mismatch,path_match",
644,왕욱,wang_uk_644,NO,-1,비정상적인 트래픽 감지,/w/왕욱,https://namu.wiki/w/%EC%99%95%EC%9A%B1,"title_mismatch,path_match",
645,왕악,wang_ak_645,NO,-1,비정상적인 트래픽 감지,/w/왕악,https://namu.wiki/w/%EC%99%95%EC%95%85,"title_mismatch,path_match",
646,왕보,wang_bo_646,NO,-1,비정상적인 트래픽 감지,/w/왕보,https://namu.wiki/w/%EC%99%95%EB%B3%B4,"title_mismatch,path_match",
